series_id,title,units,frequency,source
SPY,S&P 500 ETF,USD,Daily,Yahoo Finance
QQQ,Nasdaq 100 ETF,USD,Daily,Yahoo Finance
AGG,US Aggregate Bond ETF,USD,Daily,Yahoo Finance
TLT,20+ Year Treasury Bond ETF,USD,Daily,Yahoo Finance
VNQ,Vanguard Real Estate ETF,USD,Daily,Yahoo Finance
GLD,Gold ETF,USD,Daily,Yahoo Finance
XLE,Energy Sector ETF,USD,Daily,Yahoo Finance
TIP,TIPS Bond ETF (inflation-protected),USD,Daily,Yahoo Finance
DX-Y.NYB,US Dollar Index,USD,Daily,Yahoo Finance
BTC-USD,Bitcoin USD,USD,Daily,Yahoo Finance
ETH-USD,Ethereum USD,USD,Daily,Yahoo Finance
VEA,Developed Markets ex-US ETF,USD,Daily,Yahoo Finance
VWO,Emerging Markets ETF,USD,Daily,Yahoo Finance
