series_id,obs_date,value
NY.GDP.PCAP.PP.CD_AUS,2000-01-01,26584.8191965725
NY.GDP.PCAP.PP.CD_BRA,2000-01-01,9091.76851349271
NY.GDP.PCAP.PP.CD_CAN,2000-01-01,29347.7879802126
NY.GDP.PCAP.PP.CD_CHN,2000-01-01,2963.53238602023
NY.GDP.PCAP.PP.CD_DEU,2000-01-01,27473.6669767024
NY.GDP.PCAP.PP.CD_FRA,2000-01-01,26007.4432303376
NY.GDP.PCAP.PP.CD_GBR,2000-01-01,26535.5018554582
NY.GDP.PCAP.PP.CD_IND,2000-01-01,2090.85806894486
NY.GDP.PCAP.PP.CD_ITA,2000-01-01,27152.1544907116
NY.GDP.PCAP.PP.CD_JPN,2000-01-01,27287.9793301608
NY.GDP.PCAP.PP.CD_KOR,2000-01-01,19236.9088359303
NY.GDP.PCAP.PP.CD_MEX,2000-01-01,11704.6853532773
NY.GDP.PCAP.PP.CD_NGA,2000-01-01,3138.99138910401
NY.GDP.PCAP.PP.CD_USA,2000-01-01,36329.9702595751
NY.GDP.PCAP.PP.CD_ZAF,2000-01-01,8095.29428867929
NY.GDP.PCAP.PP.CD_AUS,2001-01-01,27687.7587444103
NY.GDP.PCAP.PP.CD_BRA,2001-01-01,9303.64529208666
NY.GDP.PCAP.PP.CD_CAN,2001-01-01,30241.0326530827
NY.GDP.PCAP.PP.CD_CHN,2001-01-01,3258.40210660305
NY.GDP.PCAP.PP.CD_DEU,2001-01-01,28674.1682823146
NY.GDP.PCAP.PP.CD_FRA,2001-01-01,27346.834962018
NY.GDP.PCAP.PP.CD_GBR,2001-01-01,27912.5562179151
NY.GDP.PCAP.PP.CD_IND,2001-01-01,2199.53910446478
NY.GDP.PCAP.PP.CD_ITA,2001-01-01,28134.0572858014
NY.GDP.PCAP.PP.CD_JPN,2001-01-01,27942.7419601305
NY.GDP.PCAP.PP.CD_KOR,2001-01-01,20442.2142872054
NY.GDP.PCAP.PP.CD_MEX,2001-01-01,11738.8928661183
NY.GDP.PCAP.PP.CD_NGA,2001-01-01,3308.50611479543
NY.GDP.PCAP.PP.CD_USA,2001-01-01,37133.6203973517
NY.GDP.PCAP.PP.CD_ZAF,2001-01-01,8428.31681707531
NY.GDP.PCAP.PP.CD_AUS,2002-01-01,29080.0439286946
NY.GDP.PCAP.PP.CD_BRA,2002-01-01,9616.59485486268
NY.GDP.PCAP.PP.CD_CAN,2002-01-01,30963.9218856684
NY.GDP.PCAP.PP.CD_CHN,2002-01-01,3590.7659594167
NY.GDP.PCAP.PP.CD_DEU,2002-01-01,29513.6823267102
NY.GDP.PCAP.PP.CD_FRA,2002-01-01,28350.0985605428
NY.GDP.PCAP.PP.CD_GBR,2002-01-01,29089.0536770407
NY.GDP.PCAP.PP.CD_IND,2002-01-01,2277.06974775051
NY.GDP.PCAP.PP.CD_ITA,2002-01-01,28833.0217903129
NY.GDP.PCAP.PP.CD_JPN,2002-01-01,28623.5884479367
