series_id,title,units,frequency,source
NY.GDP.PCAP.PP.CD_AUS,GDP per Capita PPP (current USD) - AUS,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_BRA,GDP per Capita PPP (current USD) - BRA,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_CAN,GDP per Capita PPP (current USD) - CAN,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_CHN,GDP per Capita PPP (current USD) - CHN,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_DEU,GDP per Capita PPP (current USD) - DEU,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_FRA,GDP per Capita PPP (current USD) - FRA,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_GBR,GDP per Capita PPP (current USD) - GBR,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_IND,GDP per Capita PPP (current USD) - IND,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_ITA,GDP per Capita PPP (current USD) - ITA,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_JPN,GDP per Capita PPP (current USD) - JPN,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_KOR,GDP per Capita PPP (current USD) - KOR,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_MEX,GDP per Capita PPP (current USD) - MEX,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_NGA,GDP per Capita PPP (current USD) - NGA,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_USA,GDP per Capita PPP (current USD) - USA,current USD,Annual,World Bank
NY.GDP.PCAP.PP.CD_ZAF,GDP per Capita PPP (current USD) - ZAF,current USD,Annual,World Bank
PA.NUS.PPP_AUS,PPP Conversion Factor - AUS,,Annual,World Bank
PA.NUS.PPP_BRA,PPP Conversion Factor - BRA,,Annual,World Bank
PA.NUS.PPP_CAN,PPP Conversion Factor - CAN,,Annual,World Bank
PA.NUS.PPP_CHN,PPP Conversion Factor - CHN,,Annual,World Bank
PA.NUS.PPP_DEU,PPP Conversion Factor - DEU,,Annual,World Bank
